Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District
BABU COIR WORKS,"Pathirappally Omanappuzha Road, Pattukalam, Alappuzha, Kerala 688522, India",Kerala,688522,952546,788299,930585,1134556,956257,1165199,1539315,1006202,1314481,Ambalapuzha,Alappuzha
BABU ENGINEERING,"3B, Kamban Street, 1st St N, Ramakrishnapuram, Saravanampatti, Siranandha Puram, Coimbatore, Tamil Nadu 641035, India",Tamil Nadu,641035,3750,0,0,0,0,0,0,0,0,Coimbatore North,Coimbatore
BABY MARINE EASTERN EXPORTS,"Plot No. C-77-A2, C-77B1, Sipcot Industrial Comlex, Madathur, Udumalapetai, Madathur, Thoothukudi, Tamil Nadu 628008, India",Tamil Nadu,628008,1575097,883159,683471,1139398,431416,205675,115997,43800,50000,Thoothukkudi,Tuticorin
BABY MARINE INTERNATIONAL,"Thoppumpady, W7M8+59J, Thoppumpady, Kochi, Kerala 682005, India",Kerala,682005,1327811,1285102,1793083,1438568,867302,579247,436163,384500,1422596,Kochi,Ernakulam
BAFNA ENTERPRISES,"V798+RQR, puthenthode, Kannamaly, Kochi, Kerala 682008, India",Kerala,682008,2015672,1150357,1137553,624548,1190291,1361656,1774016,1375171,1138612,Kochi,Ernakulam
BAGAVATHI APPARELS,"5, Angeripalayam Main Road, Jeeva Colony, Gandhi Nagar (PO), SBI Colony, Gandhinagar, Velampalayam, Titupur, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,6835,18998,0,0,0,0,0,0,0,Tiruppur,Coimbatore
BAKKHUS MERLOT INDUSTRIES,"D-47&48, Municipal Shopping Complex, AM Rd, Perumbavoor, Kerala 683542, India",Kerala,683542,20300,0,0,0,0,0,0,0,0,Kunnathunad,Ernakulam
BALAKRISHNA ENGINEERING,"1/93, Mylampatti Post, near, Chinnampalayam, Coimbatore, Mylampatti, Tamil Nadu 641062, India",Tamil Nadu,641062,34895,9811,0,0,0,8055,2075,0,0,Coimbatore South,Coimbatore
BALU ENGINEERING INDUSTRIES,"2XHP+FRH, Avarampalayam, Illango Nagar, Coimbatore, Tamil Nadu 641006, India",Tamil Nadu,641006,5828,0,0,0,0,0,9800,0,0,Coimbatore North,Coimbatore
BANAN GLOBAL TRADING,"Room no.477-C, Gandhinagar West Kechery, Thalakottukara ,India.pin-680501, Kechery, Thalakottukara, Kerala 680501, India",Kerala,680501,157421,11842,51301,8276,151968,92358,189167,54176,82690,Talappilly,Thrissur
BASCO FOODS (INDIA )PVT. LTD ,"29Q2+WHJ, Edappally - Pukkattupady Rd, Kollamkudimugal, Kangarappady, Kochi, Kerala 682021, India",Kerala,682021,175252,242810,306980,92699,123910,114447,89410,244400,41550,Ernakulam,Ernakulam
BASH-P INTERNATIONAL,"2947+MW7, Infopark Campus, Infopark, Kakkanad, Kerala 682030, India",Kerala,682030,56259,55934,0,0,16337,0,0,16064,30329,Ernakulam,Ernakulam
BEEK COTTON CLOTHS,"Amarjothi Gardens, Railway Feeder Road, 485V+46W, Railway Feeder Road, Kannipiran Colony, Valipalayam, Tiruppur, Tamil Nadu 641601, India",Tamil Nadu,641601,1581,199,0,0,0,1510,1118,0,0,Avinashi,Coimbatore
BELL FOODS,"Pallichal Rd, Valummel, Kochi, Kerala 682005, India",Kerala,682005,1051564,2527796,2419963,2496982,793479,614300,1164049,1270138,1186474,Kochi,Ernakulam
BENLION COIR INDUSTRIES,"2/509, Vanchiyapuram Pirivu, Suleeswaranpatti P.O, Pollachi, Annantha Nagar, Coimbatore, Tamil Nadu 642006, India",Tamil Nadu,642006,798370,5508860,3874370,1381008,0,0,0,0,0,Pollachi,Coimbatore
BENSO GARMENTS,"pariyur amman nagar, Nochipalayam, Tiruppur, Tamil Nadu 641605, India",Tamil Nadu,641605,1203,9745,1856,3818,8213,2717,1164,27738,7385,Kangayam,Erode
BENZER TRADING INDIA P.LTD.,"Thiruvegappura, Pattambi, Thiruvegappura, Kerala 679304, India",Kerala,679304,52498,0,0,0,0,0,0,0,0,Ottappalam,Palakkad
BESCOAT,"Ambalathinkara, Kerala 671531, India",Kerala,671531,28000,62661,24000,54095,36650,60280,31723,65418,45275,Hosdurg,Kasargod
BETHANYA CASHEW COMPANY,"Mavady Post, Enathu Puthoor Rd, Kerala 691507, India",Kerala,691507,238644,222831,171636,138504,213504,138380,161054,210876,238921,Kottarakkara,Kollam
BETHEN PLANTATIONS,"Glenmary Estate, Peerumade (PO), HXGG+78G, Peermade, Idukki, Kuttikkanam, Kerala 685531, India",Kerala,685531,11880,0,0,0,0,0,0,0,0,Peerumade,Idukki
BETHSAIDA CASHEW COMPANY,"Kollam Kerala, Kerala 691507, India",Kerala,691507,190512,127008,188760,172334,216636,142140,209092,173644,189970,Kottarakkara,Kollam
BHAGYAM EXPORTS,"55, GNG St, Varadaraja Puram, Ambattur, Chennai, Tamil Nadu 600053, India",Tamil Nadu,600053,532,0,0,0,0,0,0,0,0,Ambattur,Tiruvallur
BHARATH PAPER CONVERSIONS,"No. 40, 5th Cross, Bharathi Park Rd, Periyar Nagar, Anna Nagar, Coimbatore, Tamil Nadu 641043, India",Tamil Nadu,641043,208565,261322,101325,197455,31751,78785,120963,26403,37040,Coimbatore North,Coimbatore
BHAVANI FOOD INDUSTRIES,"9HR7+5RM, Thiruvalla, Kerala 689101, India",Kerala,689101,25016,6526,6630,0,0,0,0,0,0,Tiruvalla,Pathanamthitta
BIJU MODERN RICE MILL,"Oottara, Kollengode, JPH2+7X8, Panangattiri, Kerala 678504, India",Kerala,678504,21000,0,0,0,0,0,0,0,0,Chittur,Palakkad
BIPIN EXPORTS,"20, Kongu Main Rd, SNVS Layout, Muthu Nagar, Renganatha Puram, Tiruppur, Tamil Nadu 641607, India",Tamil Nadu,641607,440,0,0,0,0,0,10400,11237,4704,Tirupur,Coimbatore
BIRIN GARMENTS,"57PJ+26C, SH19, Kaikattipudhur, Avinashi, Tamil Nadu 641654, India",Tamil Nadu,641654,305,0,0,0,0,0,0,0,0,Avinashi,Coimbatore
BISMI CASHEWS,"Sengeni Ammal St, Panruti, Tamil Nadu 607106, India",Tamil Nadu,607106,1050084,473652,735768,228504,624882,908621,818610,685322,779860,Panruti,Cuddalore
BISMI TRADING COMPANY,"EEC Market, Market P.O, Vazhappily, Muvattupuzha, Kerala 686673, India",Kerala,686673,1117994,747151,341385,174100,142352,269231,402661,1435275,2254230,Muvattupuzha,Ernakulam
BISMILLAH AGRI COMMODITIES,"HMD BUILDING, 18/1640, Karicode, Koikkal, Kollam, Kerala 691004, India",Kerala,691004,42000,0,0,0,0,0,0,0,0,Kollam,Kollam
