,Unnamed: 0,Address,pincode,Taluk,Districtname,statename,Latitude,Longitude
224,322,"Room No:40/5476, First Floor,Ruquia Chamber, TD Rd, Padma Junction, Pullepady, Kochi, Kerala 682035, India",682035,Ernakulam,Ernakulam,KERALA,9.979283159183671,76.28271734081633
229,329,"Door No. XI/408, NH-66, Cheriakadavu, Kannamaly, Cheriakadavu, Kannamaly, Kochi, Kerala 682008, India",682008,Kochi,Ernakulam,KERALA,9.869597658064515,76.26596289354838
230,330,"29/2089 State Highway 15 Tripunithura, Road, Thykoodam, Vyttila, Kochi, Kerala 682019, India",682019,Ernakulam,Ernakulam,KERALA,9.96996995974026,76.31541058961038
231,331,"Eramalloor,, Chandiroor, Alappuzha, Kerala 688537, India",688537,Cherthala,Alappuzha,KERALA,9.82172572,76.30522974
232,332,"M899+27Q Perumpara Juction, Po, Kuruppan Kulangara, Cherthala, Cherthala South, Kerala 688539, India",688539,Cherthala,Alappuzha,KERALA,9.66428288888889,76.34121377777778
233,333,"S.N.V. Road, Kannadikavala, Aryakara, Muhamma, Kerala 688525, India",688525,Cherthala,Alappuzha,KERALA,9.619357622727271,76.35883995454545
235,335,"1150c, Subhash Chandra Bose Rd, Jawahar Nagar, Elamkulam, Kochi, Kerala 682020, India",682020,Ernakulam,Ernakulam,KERALA,9.96861736259542,76.30114694656488
236,336,"6/140, Synagogue Ln, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
237,337,"Press Kottadayil Building, Near North,, Lakeshore Hospital, Nettoor, Maradu, Kochi, Kerala 682040, India",682040,Kanayannur,Ernakulam,KERALA,9.923889512121212,76.31571828181819
241,342,"beach, Civil Station Ward, Alappuzha, Kerala 688012, India",688012,Ambalapuzha,Alappuzha,KERALA,9.490780478571429,76.32486257142857
242,343,"AV Building, Cherattukuzhi Road, Down Hill, Malappuram, Kerala 676519, India",676519,Ernad,Malappuram,KERALA,11.05071221125,76.03817599
243,345,"R8MQ+C3G, Cherthala - Arookutty Rd, Panavally, Kerala 688526, India",688526,Cherthala,Alappuzha,KERALA,9.806103366981132,76.35243924716981
244,346,"Aravankara - Mini Ootty - Arimbramala Rd, Pookkottur, Kerala 676517, India",676517,Ernad,Malappuram,KERALA,11.081878113043478,76.06632696956521
246,348,"R8C3+Q4R Between konkery bridge and Railway cross, Vattathara, Ezhupunna, Kerala 688537, India",688537,Cherthala,Alappuzha,KERALA,9.82172572,76.30522974
248,351,"GKS COMPLEX, 4/450 , AROOKUTTY FERRY ROAD , AROOR 688534, Aroor gram panchayat, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
264,374,"MGHX+HMC, Industrial Estate Rd, Ettumanoor, Kerala 686631, India",686631,Kottayam,Kottayam,KERALA,9.673597835897436,76.55975298397436
265,375,"Pallichal Road, Valummel, Pallichal, Kochi, Kerala 682005, India",682005,Kochi,Ernakulam,KERALA,9.940253061111113,76.25960161388889
267,377,"Mallikassery, Kerala 686577, India",686577,Meenachil,Kottayam,KERALA,9.640891316,76.737008176
268,379,"2nd Floor,307/C6,KSIE Building Cochin InternationalContainer Freight Staton, Old Anavathil Jn ICTT Road, P.O, Udyogamandal, Kalamassery, Kochi, Kerala 683501, India",683501,Ernakulam,Ernakulam,KERALA,10.065396075,76.305478
270,382,"3F3J+62X, Vengola, Kerala 683556, India",683556,Kunnathunad,Ernakulam,KERALA,10.083125960465116,76.47373215813954
276,394,"5CFP+MQ4, Enchackal Kavala, Kalady, Kerala 683574, India",683574,Aluva,Ernakulam,KERALA,10.182817160958905,76.45845344931507
279,400,"II/750A, Industrial Development Area, Aroor gram panchayat, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
280,401,"Peringuzha, XJ52+MH5, Perumpalloor P.O., Peringuzha, Ernakulam, Muvattupuzha, Kerala 686673, India",686673,Muvattupuzha,Ernakulam,KERALA,9.98582857409836,76.58100003016393
286,410,"ATC Building, Moolepadam Nagar Road HMT Junction, Kalamassery, HMT Junction, Moolepadam Nagar, South Kalamassery, Kalamassery, Kochi, Kerala 683104, India",683104,Kanayannur,Ernakulam,KERALA,10.057542963636363,76.31917809090909
287,411,"Aluva - Mala Rd, Ayroor, Attupuram, Kerala 683579, India",683579,Paravur,Ernakulam,KERALA,10.180445387272728,76.31635012181819
288,413,"1/335, Rose St, Fort Nagar, Fort Kochi, Kochi, Kerala 682001, India",682001,Kochi,Ernakulam,KERALA,9.961975513432836,76.24336774328359
289,414,"Plot No: 15, KINFRA HI-TECH Park, Opp Co-operative Medical College, P.O, HMT Colony, North Kalamassery, Kalamassery, Kochi, Kerala 683503, India",683503,Kanayannur,Ernakulam,KERALA,10.0582879625,76.337153153125
291,418,"XXX7+GXF, Edappally - Panvel Hwy, Kerala 676508, India",676508,Tirurangadi,Malappuram,KERALA,11.054313333333331,75.93619846
294,424,"Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
300,432,"XCVM+QPG, Aikaranad North, Kerala 682310, India",682310,Kunnathunad,Ernakulam,KERALA,9.98790642,76.430152955
302,435,"Project Colony Road, Industrial Development Area, Aroor, Aroor gram panchayat, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
303,436,"National Highway 47, Chandiroor, Kerala 688535, India",688535,Cherthala,Alappuzha,KERALA,9.8564922,76.32294531666666
306,439,"B.7, HMT Rd, Industrial Estate, P.O, Kalamassery, Kochi, Kerala 683503, India",683503,Kanayannur,Ernakulam,KERALA,10.0582879625,76.337153153125
312,447,"23G4+J3V, Malappuram, Kerala 676528, India",676528,Tirurangadi,Malappuram,KERALA,11.029406320930232,76.03106219069767
314,450,"Illikkal Kallu, Illikkal Kallu Rd, Moonnilavu, Poonjar Vadakkekara, Kerala 686586, India",686586,Meenachil,Kottayam,KERALA,9.7493429375,76.78570731875
316,452,"Sakthikulangara, Kollam, Kerala 691581, India",691581,Kollam,Kollam,KERALA,8.928226436363635,76.54678488181818
318,454,"W779+J78, Nambiapuram Rd, Palluruthy, Kochi, Kerala 682006, India",682006,Kochi,Ernakulam,KERALA,9.917652551851852,76.27326455925926
321,458,"35/2265A, Infra House, BC Lane, Church Rd, Pallinada, Palarivattom, Kochi, Kerala 682025, India",682025,Ernakulam,Ernakulam,KERALA,10.000372668965516,76.30783643448275
322,459,"XVI/235, Choornikkara, Aluva, Kerala 683106, India",683106,Aluva,Ernakulam,KERALA,10.080344491666668,76.34267441666667
323,460,"3W93+54W, Chemmad-Thalappara Rd, Muttichira, Moonniyur, Kerala 676311, India",676311,Tirurangadi,Malappuram,KERALA,11.06098252,75.89344396
324,461,"V8P2+375, Aroor gram panchayat, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
326,463,"Kanjirakkad, Perumbavoor, Kerala 683543, India",683543,Kunnathunad,Ernakulam,KERALA,10.1228594125,76.48358803125
328,465,"SN Junction , Kayal Road Muhamma, J988+P9V, Post, Aryakara, Alappuzha, Muhamma, Kerala 688525, India",688525,Cherthala,Alappuzha,KERALA,9.619357622727271,76.35883995454545
335,482,"6HWM+972, Kochalummoodu, Vettiyar, Mavelikara, Kerala 690108, India",690108,Mavelikkara,Alappuzha,KERALA,9.249809575,76.5772071375
336,483,"F8PQ+R47, Municipal Stadium Ward, Vellakkinar, Alappuzha, Kerala 688011, India",688011,Ambalapuzha,Alappuzha,KERALA,9.494271704545454,76.34375952727272
340,490,"Kalavamkodam Post Office, Thankey Jn. - Saktheeshwaram, Alappuzha, Kerala 688524, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
343,496,"Thanneermukkom Alleppey, Verungumchuvad, Cherthala, Thanneermukkom, Kerala 688527, India",688527,Cherthala,Alappuzha,KERALA,9.663949954545457,76.37130390909091
344,497,"V7PW+VQF, Aroor gram panchayat, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
349,502,"Industrial development Plot, Poovanthuruthu, Kottayam, Kerala 686012, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667
350,503,"CCSB Rd, Kodiveedu, Alappuzha, Kerala 688001, India",688001,Ambalapuzha,Alappuzha,KERALA,9.49638391904762,76.33209264761905
351,504,"10°08'13. 76°27'43.0""E, 3rd Cross Road, Vallom, Ezhattumugham, Chelamattom part, Kerala 683550, India",683550,Kunnathunad,Ernakulam,KERALA,10.156458604347826,76.44930727391304
352,505,"5F22+6XR, opposite Reliance Petrol Pump, P.O, Okkal, Kalady, Ernakulam, Kerala 683550, India",683550,Kunnathunad,Ernakulam,KERALA,10.156458604347826,76.44930727391304
362,524,"XPM5+V56, Pezhookonam, Cheerankavu, Kollam, Kerala 691505, India",691505,Kottarakkara,Kollam,KERALA,8.989406912745098,76.7210242754902
364,528,"National Highway Bye Pass, Kannadi Kadu Service Rd, Adjacent to Hotel Wyte Fort, Jaya Nagar, Maradu, Kochi, Kerala 682304, India",682304,Ernakulam,Ernakulam,KERALA,9.938877706666666,76.32558967666667
366,530,"Kaipattoor, Mekalady, Kalady, Kerala 683574, India",683574,Aluva,Ernakulam,KERALA,10.182817160958905,76.45845344931507
370,534,"Door No. 39/1607, Maria Complex, Kannamthottathil Road, Valanjambalam, Eroor Rd, Kappattikavu, Eroor North, Eroor, Kochi, Kerala 682306, India",682306,Ernakulam,Ernakulam,KERALA,9.968037122972971,76.33532464099099
371,535,"C942+67H, Neerkunnam, Vandanam, Kerala 688005, India",688005,Ambalappuzha,Alappuzha,KERALA,9.40768399,76.351707025
374,541,"Thrissur, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
376,544,"Kannan Devan Hills, Kerala, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667
385,563,"Basin Rd, Marine Drive, Ernakulam, Kochi, Kerala 682031, India",682031,Ernakulam,Ernakulam,KERALA,9.99692354,76.27468644
387,565,"Chanthapallam, Cheriakadavu, Kannamaly, Kochi, Kerala 682008, India",682008,Kochi,Ernakulam,KERALA,9.869597658064515,76.26596289354838
389,567,"M8QW+X2C, Nedumbrakkad, Alleppey, Cherthala, Kerala 688524, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
390,568,"Poonthope Ward, Rahul Nivas, Kommady, Alappuzha, Aryad South, Kerala 688006, India",688006,Ambalapuzha,Alappuzha,KERALA,9.525584704,76.338968536
391,570,"Kerala, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667
392,571,"Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
393,572,"G89H+M6C, Kommady, Kaichoondi, Alappuzha, Aryad South, Kerala 688008, India",688008,Ambalapuzha,Alappuzha,KERALA,9.521471733333334,76.3244164
394,573,"Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
395,574,"VHPR+QVM, Parameswar Nagar, Kollam, Kerala 691001, India",691001,Kollam,Kollam,KERALA,8.886722971739129,76.59831395
397,576,"F8WJ+464, CCNB Rd, Market Ward, Alappuzha, Kerala 688001, India",688001,Ambalapuzha,Alappuzha,KERALA,9.49638391904762,76.33209264761905
400,579,"28X9+FFJ, Salem-Ernakulam Highway, South Kalamassery, Kalamassery, Kochi, Kerala 682039, India",682039,Ernakulam,Ernakulam,KERALA,10.004646666666668,76.34727148333334
